airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
MOB,10,1,6,9,1,0,20,3,1,1,4
MOD,0,2,1,7,0,0,1,0,1,1,1
MOT,2,1,0,2,0,0,0,1,0,0,0
MRY,7,2,4,9,0,0,8,2,1,1,7
MSL,1,1,0,1,0,0,0,0,0,1,0
MSN,30,13,23,51,2,0,54,7,1,17,34
MSO,11,0,9,22,0,1,23,7,1,5,12
MSP,341,70,143,355,13,12,515,58,27,113,214
MSS,0,0,0,1,0,0,0,0,0,0,0
MSY,160,43,98,215,10,8,245,17,7,47,158
MTJ,13,2,5,8,0,1,10,4,1,4,4
MVY,4,4,4,3,0,0,0,0,0,0,5
MWA,2,1,2,0,0,0,0,0,0,0,0
MWH,0,0,0,1,0,0,0,0,0,0,0
MYR,32,9,13,40,2,0,44,9,1,9,31
NYL,3,0,1,3,1,1,12,0,1,1,3
OAJ,3,0,3,12,0,0,6,1,1,0,3
OAK,253,54,101,334,11,3,363,28,12,43,199
OGG,93,24,72,131,9,4,111,16,7,17,107
OGS,1,1,0,0,0,0,0,0,0,0,1
OKC,44,10,39,75,0,2,62,3,3,16,52
OMA,102,23,55,105,7,3,98,9,9,55,69
OME,4,1,1,4,2,0,5,3,0,1,4
ONT,98,27,57,127,9,2,130,17,13,33,76
ORD,717,229,360,1119,60,30,1047,95,43,288,544
ORF,110,16,50,109,3,2,120,14,13,41,82
ORH,2,0,2,2,0,0,0,1,0,0,3
OTH,6,2,2,2,0,1,5,4,1,1,2
OTZ,2,0,0,0,0,0,1,0,0,0,0
OWB,0,0,0,2,0,0,3,0,0,0,0
OXR,0,1,0,5,0,0,2,0,0,0,1
PAH,0,1,1,2,0,0,1,0,0,1,1
PBG,2,1,2,1,1,0,1,0,0,1,0
PBI,188,34,65,182,6,4,253,7,18,37,174
PDT,0,1,1,1,0,0,3,0,0,0,0
PDX,209,41,150,261,13,10,362,44,23,88,163
PFN,7,3,4,8,0,0,2,2,0,4,8
PGA,0,0,0,1,0,0,1,0,0,0,0
PGD,3,0,3,0,0,0,3,0,0,0,0
PGV,5,2,6,4,0,0,1,1,1,0,1
PHF,21,6,8,31,0,1,36,1,3,18,17
PHL,515,151,287,1034,54,26,753,53,31,157,531
PHX,635,125,325,726,65,34,849,81,45,181,479
PIA,11,1,6,18,1,0,8,2,0,2,6
PIB,2,0,1,1,0,0,2,0,0,0,0
PIE,30,5,9,21,0,0,40,1,7,3,21
PIH,0,0,0,2,0,0,3,0,0,0,1
PIR,0,0,0,0,0,0,2,0,0,0,0
PIT,129,22,66,140,3,7,186,20,10,66,93
PKB,0,0,0,0,0,0,3,0,0,0,2
PLB,1,0,0,0,0,0,0,0,0,0,0
PLN,6,1,4,2,0,0,4,0,0,1,2
PNS,24,9,18,38,1,0,31,6,1,6,28
PPG,0,0,0,0,0,0,0,1,0,0,0
PQI,1,0,1,1,0,0,0,1,0,0,0
PRC,0,0,0,1,0,0,1,0,0,0,2
PSC,9,4,9,10,1,0,18,0,1,5,10
PSE,3,0,5,4,0,1,10,0,1,0,5
PSG,3,1,1,2,1,0,1,1,0,0,0
PSM,1,0,1,0,0,0,0,0,0,0,3
PSP,78,14,26,35,8,4,58,14,2,15,33
