claim_amount	Approve	Settle	Deny
523	3	3	13
524	2	7	14
525	4	17	44
526	0	3	8
527	1	4	12
528	1	4	12
529	2	8	23
530	4	4	35
531	2	6	12
532	1	3	10
533	1	5	10
534	0	9	24
535	5	9	17
536	0	5	14
537	0	6	13
538	0	8	15
539	0	9	21
540	5	11	35
541	1	7	12
542	1	4	6
543	0	3	20
544	2	7	9
545	4	7	17
546	1	4	8
547	0	6	13
548	2	5	18
549	2	21	16
550	17	43	144
551	0	2	9
552	3	3	12
553	1	4	7
554	1	7	10
555	2	1	12
556	1	5	13
557	0	2	15
558	1	6	12
559	1	5	7
560	6	5	33
561	2	0	9
562	1	6	10
563	1	3	7
564	0	3	9
565	0	8	23
566	1	2	9
567	2	2	9
568	1	6	13
569	0	7	16
570	1	6	23
571	0	2	4
572	2	3	13
573	1	3	6
574	0	2	11
575	5	6	29
576	0	6	10
577	0	3	13
578	0	1	10
579	2	11	10
580	2	9	27
581	1	3	11
582	2	6	9
583	2	1	9
584	0	4	9
585	5	5	12
586	0	4	10
587	1	4	8
588	2	6	4
589	1	4	11
590	2	4	15
591	2	1	12
592	0	2	9
593	0	6	5
594	2	3	7
595	3	7	24
596	3	2	10
597	2	1	6
598	3	5	13
599	5	15	36
600	28	68	335
601	1	2	5
602	1	3	3
603	0	4	7
604	1	3	12
605	0	4	15
606	0	2	8
607	2	5	10
608	0	2	13
609	0	2	11
610	1	7	22
611	1	2	4
612	0	4	8
613	0	7	6
614	1	5	9
615	1	5	6
616	0	2	3
617	0	6	7
618	1	6	10
619	0	2	21
620	2	3	26
621	0	4	6
622	0	1	7
623	0	4	5
624	1	2	11
625	2	14	31
626	1	6	4
627	1	5	5
628	3	3	13
629	2	5	16
630	5	13	25
631	0	3	10
632	1	1	8
633	0	6	10
634	0	4	8
635	2	5	17
636	0	4	13
637	2	2	9
638	2	2	6
639	2	1	10
640	3	11	16
641	1	3	10
642	0	6	5
643	1	2	5
644	2	4	9
645	1	3	22
646	0	1	4
647	2	1	6
648	2	4	11
649	4	5	27
650	4	25	133
651	1	1	5
652	0	3	7
653	0	3	8
654	0	1	7
655	1	3	12
656	0	1	5
657	0	5	6
658	1	2	9
659	0	3	14
660	1	6	28
661	0	2	3
662	0	2	7
663	1	5	6
664	0	1	6
665	0	6	17
666	1	0	9
667	0	5	10
668	1	1	4
669	0	5	7
670	0	5	19
671	0	2	7
672	0	2	11
673	0	3	7
674	2	4	9
675	1	9	27
676	0	1	7
677	1	0	5
678	0	1	13
679	0	5	17
680	1	9	26
681	1	5	4
682	0	2	8
683	0	5	4
684	1	2	8
685	1	1	15
686	0	0	8
687	1	3	9
688	1	0	6
689	2	2	14
690	1	6	20
691	2	3	9
692	2	2	7
693	0	2	8
694	0	3	12
695	4	5	11
696	1	1	6
697	0	3	8
698	2	3	13
699	3	11	28
700	12	36	250
701	0	1	8
702	0	1	5
703	2	1	6
704	1	3	6
705	0	3	12
706	1	2	4
707	1	2	4
708	0	1	7
709	1	2	8
710	1	2	19
711	0	0	5
712	1	1	11
713	0	3	6
714	1	1	7
715	0	4	8
716	0	2	4
717	0	0	6
718	0	0	5
719	1	3	16
720	2	6	20
721	1	1	6
722	0	1	14
723	1	1	2
724	1	1	6
725	2	9	26
726	0	3	8
727	2	1	9
728	0	4	3
729	0	4	8
730	1	7	14
731	0	3	5
732	0	2	4
733	0	3	6
734	0	5	4
735	0	4	16
736	1	3	9
737	0	5	3
738	0	0	6
739	2	3	8
740	3	3	16
741	0	3	7
742	0	3	8
743	3	6	9
744	0	5	4
745	0	0	13
746	0	1	8
747	1	2	4
748	0	1	10
749	0	5	18
750	3	33	124
751	2	2	7
752	0	3	9
753	0	4	8
754	2	2	10
755	2	1	11
756	0	1	3
757	1	1	15
758	1	2	2
759	0	3	9
760	0	2	20
761	0	2	3
762	1	1	4
763	0	1	1
764	0	1	7
765	0	3	7
766	1	3	6
767	1	3	3
768	2	2	6
769	0	4	13
770	1	6	11
771	1	2	3
772	0	1	3
773	1	3	12
774	0	0	8
775	0	9	19
776	0	2	3
777	1	2	3
778	0	3	8
779	0	4	9
780	3	6	23
781	1	3	3
782	0	0	5
783	1	2	4
784	0	0	9
785	0	1	15
786	0	2	3
787	0	0	2
788	1	1	7
789	0	0	6
790	1	8	16
791	1	2	5
792	0	2	6
793	0	3	2
794	1	3	4
795	0	4	8
796	1	0	3
797	0	1	5
798	0	2	3
799	1	10	31
